Afrikaans;af;afr
Albanian;sq;sqi
Amharic;am;amh
Arabic;ar;ara
Armenian;hy;hye
Austro-Bavarian German;de;bar
Aymara;ay;aym
Azerbaijani;az;aze
Belarusian;be;bel
Bengali;bn;ben
Bislama;bi;bis
Bosnian;bs;bos
Bulgarian;bg;bul
Burmese;my;mya
Catalan;ca;cat
Chewa;ny;nya
Chinese;zh;zho
Croatian;hr;hrv
Czech;cs;ces
Danish;da;dan
Dari;fa;prs
Dutch;nl;nld
Dzongkha;dz;dzo
English;en;eng
Estonian;et;est
Fijian;fj;fij
Filipino;tl;fil
Finnish;fi;fin
French;fr;fra
Georgian;ka;kat
German;de;deu
Greek;el;ell
Guaraní;gn;grn
Haitian Creole;ht;hat
Hebrew;he;heb
Herero;hz;her
Hindi;hi;hin
Hiri Motu;ho;hmo
Hungarian;hu;hun
Icelandic;is;isl
Indonesian;id;ind
Irish;ga;gle
Italian;it;ita
Japanese;ja;jpn
Kazakh;kk;kaz
Khmer;km;khm
Kikongo;kg;kon
Kinyarwanda;rw;kin
Kirundi;rn;run
Korean;ko;kor
Kyrgyz;ky;kir
Lao;lo;lao
Latin;la;lat
Latvian;lv;lav
Lingala;ln;lin
Lithuanian;lt;lit
Luxembourgish;lb;ltz
Macedonian;mk;mkd
Malagasy;mg;mlg
Malay;ms;msa
Maldivian;dv;div
Maltese;mt;mlt
Marshallese;mh;mah
Mongolian;mn;mon
Māori;mi;mri
Nauru;na;nau
Ndonga;ng;ndo
Nepali;ne;nep
Northern Ndebele;nd;nde
Norwegian Bokmål;nb;nob
Norwegian Nynorsk;nn;nno
Pashto;ps;pus
Persian (Farsi);fa;fas
Polish;pl;pol
Portuguese;pt;por
Quechua;qu;que
Romanian;ro;ron
Romansh;rm;roh
Russian;ru;rus
Samoan;sm;smo
Sango;sg;sag
Serbian;sr;srp
Shona;sn;sna
Sinhala;si;sin
Slovak;sk;slk
Slovene;sl;slv
Somali;so;som
Sotho;st;sot
Southern Ndebele;nr;nbl
Spanish;es;spa
Swahili;sw;swa
Swazi;ss;ssw
Swedish;sv;swe
Swiss German;de;gsw
Tajik;tg;tgk
Tamil;ta;tam
Thai;th;tha
Tigrinya;ti;tir
Tongan;to;ton
Tsonga;ts;tso
Tswana;tn;tsn
Turkish;tr;tur
Turkmen;tk;tuk
Ukrainian;uk;ukr
Urdu;ur;urd
Uzbek;uz;uzb
Venda;ve;ven
Vietnamese;vi;vie
Xhosa;xh;xho
Zulu;zu;zul
